#options: 854x480 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=3 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=8 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=60 keyint_min=31 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=crf mbtree=1 crf=24.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:37 out:34 type:P dur:2 cpbdur:2 q:30.03 aq:24.85 tex:31412 mv:9813 misc:1239 imb:563 pmb:589 smb:468 d:s ref:0 ;
in:35 out:35 type:B dur:2 cpbdur:2 q:30.03 aq:25.29 tex:8117 mv:5594 misc:1329 imb:108 pmb:428 smb:1084 d:s ref:0 ;
in:34 out:36 type:b dur:2 cpbdur:2 q:30.03 aq:28.17 tex:3329 mv:2911 misc:1048 imb:45 pmb:246 smb:1329 d:s ref:0 ;
in:36 out:37 type:b dur:2 cpbdur:2 q:30.03 aq:27.21 tex:4421 mv:3593 misc:1226 imb:77 pmb:323 smb:1220 d:- ref:0 ;
in:40 out:38 type:P dur:2 cpbdur:2 q:30.03 aq:25.53 tex:30571 mv:8688 misc:1293 imb:552 pmb:534 smb:534 d:s ref:0 ;
in:38 out:39 type:B dur:2 cpbdur:2 q:30.03 aq:27.50 tex:4424 mv:4641 misc:1143 imb:66 pmb:333 smb:1221 d:s ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:30.03 aq:26.29 tex:3275 mv:3347 misc:1162 imb:52 pmb:310 smb:1258 d:- ref:0 ;
in:43 out:41 type:P dur:2 cpbdur:2 q:30.03 aq:25.36 tex:30713 mv:8649 misc:1262 imb:490 pmb:539 smb:591 d:s ref:0 ;
in:41 out:42 type:B dur:2 cpbdur:2 q:30.03 aq:27.52 tex:3758 mv:4485 misc:1157 imb:56 pmb:372 smb:1192 d:s ref:0 ;
in:42 out:43 type:b dur:2 cpbdur:2 q:30.03 aq:28.26 tex:3297 mv:2665 misc:1142 imb:26 pmb:302 smb:1292 d:- ref:0 ;
in:47 out:44 type:P dur:2 cpbdur:2 q:30.03 aq:25.42 tex:36255 mv:9978 misc:1199 imb:677 pmb:495 smb:448 d:s ref:0 ;
in:45 out:45 type:B dur:2 cpbdur:2 q:30.03 aq:26.15 tex:8310 mv:6554 misc:1488 imb:119 pmb:482 smb:1019 d:s ref:0 ;
in:44 out:46 type:b dur:2 cpbdur:2 q:30.03 aq:29.11 tex:3571 mv:3360 misc:1069 imb:48 pmb:300 smb:1272 d:s ref:0 ;
in:46 out:47 type:b dur:2 cpbdur:2 q:30.03 aq:30.32 tex:3439 mv:3632 misc:1097 imb:50 pmb:294 smb:1276 d:- ref:0 ;
in:51 out:48 type:P dur:2 cpbdur:2 q:30.03 aq:25.37 tex:27280 mv:8721 misc:1279 imb:570 pmb:509 smb:541 d:s ref:0 ;
in:49 out:49 type:B dur:2 cpbdur:2 q:30.03 aq:26.19 tex:7409 mv:6340 misc:1523 imb:130 pmb:458 smb:1032 d:s ref:0 ;
in:48 out:50 type:b dur:2 cpbdur:2 q:30.03 aq:27.96 tex:3118 mv:3075 misc:1159 imb:39 pmb:288 smb:1293 d:s ref:0 ;
in:50 out:51 type:b dur:2 cpbdur:2 q:30.03 aq:28.59 tex:3282 mv:3346 misc:1100 imb:47 pmb:304 smb:1269 d:- ref:0 ;
in:54 out:52 type:P dur:2 cpbdur:2 q:30.03 aq:25.13 tex:26742 mv:8011 misc:1359 imb:549 pmb:449 smb:622 d:s ref:0 ;
in:52 out:53 type:B dur:2 cpbdur:2 q:30.03 aq:26.36 tex:4966 mv:4703 misc:1171 imb:95 pmb:343 smb:1182 d:s ref:0 ;
in:53 out:54 type:b dur:2 cpbdur:2 q:30.03 aq:27.68 tex:4462 mv:4264 misc:1194 imb:115 pmb:302 smb:1203 d:- ref:0 ;
in:57 out:55 type:P dur:2 cpbdur:2 q:30.03 aq:24.20 tex:31105 mv:9026 misc:1269 imb:620 pmb:508 smb:492 d:s ref:0 ;
in:55 out:56 type:B dur:2 cpbdur:2 q:30.03 aq:26.06 tex:4291 mv:4736 misc:1309 imb:109 pmb:356 smb:1155 d:s ref:0 ;
in:56 out:57 type:b dur:2 cpbdur:2 q:30.03 aq:26.62 tex:3294 mv:3727 misc:1203 imb:53 pmb:343 smb:1224 d:- ref:0 ;
in:59 out:58 type:P dur:2 cpbdur:2 q:30.03 aq:25.15 tex:15212 mv:6720 misc:1380 imb:429 pmb:373 smb:818 d:s ref:0 ;
in:58 out:59 type:b dur:2 cpbdur:2 q:30.03 aq:29.29 tex:4273 mv:3624 misc:1191 imb:70 pmb:319 smb:1231 d:s ref:0 ;
in:60 out:60 type:I dur:2 cpbdur:2 q:27.12 aq:22.33 tex:99006 mv:19091 misc:151 imb:1620 pmb:0 smb:0 d:s ref:;
in:64 out:61 type:P dur:2 cpbdur:2 q:30.03 aq:23.46 tex:23020 mv:8769 misc:1307 imb:611 pmb:477 smb:532 d:s ref:0 ;
in:62 out:62 type:B dur:2 cpbdur:2 q:30.03 aq:24.78 tex:4454 mv:6051 misc:1455 imb:122 pmb:464 smb:1034 d:s ref:0 ;
in:61 out:63 type:b dur:2 cpbdur:2 q:30.03 aq:24.78 tex:3338 mv:3636 misc:1162 imb:68 pmb:338 smb:1214 d:t ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:30.03 aq:24.62 tex:3173 mv:4230 misc:1365 imb:92 pmb:398 smb:1130 d:- ref:0 ;
in:69 out:65 type:P dur:2 cpbdur:2 q:30.03 aq:24.07 tex:29170 mv:10579 misc:963 imb:878 pmb:452 smb:290 d:s ref:0 ;
in:66 out:66 type:B dur:2 cpbdur:2 q:30.03 aq:25.26 tex:7468 mv:8071 misc:1485 imb:204 pmb:493 smb:923 d:s ref:0 ;
in:65 out:67 type:b dur:2 cpbdur:2 q:30.03 aq:27.13 tex:3567 mv:4265 misc:1216 imb:79 pmb:320 smb:1221 d:s ref:0 ;
in:67 out:68 type:b dur:2 cpbdur:2 q:30.03 aq:25.32 tex:2899 mv:4696 misc:1317 imb:106 pmb:370 smb:1144 d:- ref:0 ;
in:68 out:69 type:b dur:2 cpbdur:2 q:30.03 aq:24.36 tex:3741 mv:4361 misc:1210 imb:100 pmb:318 smb:1202 d:- ref:0 ;
in:72 out:70 type:P dur:2 cpbdur:2 q:30.03 aq:24.19 tex:22944 mv:8655 misc:1249 imb:578 pmb:462 smb:580 d:s ref:0 ;
in:70 out:71 type:B dur:2 cpbdur:2 q:30.03 aq:25.47 tex:3751 mv:5276 misc:1309 imb:102 pmb:405 smb:1113 d:s ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:30.03 aq:24.00 tex:3386 mv:4504 misc:1334 imb:121 pmb:360 smb:1139 d:- ref:0 ;
in:75 out:73 type:P dur:2 cpbdur:2 q:30.03 aq:23.64 tex:25326 mv:9496 misc:1130 imb:760 pmb:428 smb:432 d:s ref:0 ;
in:73 out:74 type:B dur:2 cpbdur:2 q:30.03 aq:24.56 tex:4706 mv:5582 misc:1368 imb:129 pmb:396 smb:1095 d:s ref:0 ;
in:74 out:75 type:b dur:2 cpbdur:2 q:30.03 aq:26.48 tex:3721 mv:4801 misc:1294 imb:106 pmb:368 smb:1146 d:- ref:0 ;
in:78 out:76 type:P dur:2 cpbdur:2 q:30.03 aq:23.81 tex:24400 mv:9153 misc:1263 imb:670 pmb:464 smb:486 d:s ref:0 ;
in:76 out:77 type:B dur:2 cpbdur:2 q:30.03 aq:25.24 tex:4578 mv:4700 misc:1250 imb:84 pmb:375 smb:1161 d:s ref:0 ;
in:77 out:78 type:b dur:2 cpbdur:2 q:30.03 aq:25.07 tex:4617 mv:5039 misc:1280 imb:112 pmb:437 smb:1071 d:- ref:0 ;
in:82 out:79 type:P dur:2 cpbdur:2 q:30.03 aq:23.99 tex:27002 mv:9364 misc:1186 imb:782 pmb:428 smb:410 d:s ref:0 ;
in:80 out:80 type:B dur:2 cpbdur:2 q:30.03 aq:23.86 tex:8289 mv:6372 misc:1483 imb:138 pmb:500 smb:982 d:s ref:0 ;
in:79 out:81 type:b dur:2 cpbdur:2 q:30.03 aq:25.14 tex:3805 mv:4448 misc:1275 imb:80 pmb:356 smb:1184 d:s ref:0 ;
in:81 out:82 type:b dur:2 cpbdur:2 q:30.03 aq:25.18 tex:3748 mv:3807 misc:1357 imb:43 pmb:421 smb:1156 d:- ref:0 ;
in:86 out:83 type:P dur:2 cpbdur:2 q:30.03 aq:23.90 tex:24641 mv:9359 misc:1192 imb:789 pmb:428 smb:403 d:s ref:0 ;
in:84 out:84 type:B dur:2 cpbdur:2 q:30.03 aq:23.36 tex:7855 mv:6583 misc:1634 imb:95 pmb:676 smb:849 d:s ref:0 ;
in:83 out:85 type:b dur:2 cpbdur:2 q:30.03 aq:24.37 tex:4345 mv:4549 misc:1466 imb:81 pmb:452 smb:1087 d:s ref:0 ;
in:85 out:86 type:b dur:2 cpbdur:2 q:30.03 aq:25.64 tex:3760 mv:3462 misc:1258 imb:37 pmb:372 smb:1211 d:- ref:0 ;
in:89 out:87 type:P dur:2 cpbdur:2 q:30.03 aq:24.08 tex:26950 mv:9465 misc:897 imb:901 pmb:407 smb:312 d:s ref:0 ;
in:87 out:88 type:B dur:2 cpbdur:2 q:30.03 aq:24.91 tex:4547 mv:4029 misc:1408 imb:42 pmb:412 smb:1166 d:s ref:0 ;
in:88 out:89 type:b dur:2 cpbdur:2 q:30.03 aq:25.12 tex:3273 mv:3132 misc:1299 imb:45 pmb:340 smb:1235 d:- ref:0 ;
in:92 out:90 type:P dur:2 cpbdur:2 q:30.03 aq:24.37 tex:19445 mv:8568 misc:1147 imb:736 pmb:417 smb:467 d:s ref:0 ;
in:90 out:91 type:B dur:2 cpbdur:2 q:30.03 aq:24.00 tex:4045 mv:3164 misc:1175 imb:44 pmb:299 smb:1277 d:s ref:0 ;
in:91 out:92 type:b dur:2 cpbdur:2 q:30.03 aq:24.84 tex:2969 mv:2618 misc:1061 imb:37 pmb:250 smb:1333 d:- ref:0 ;
in:95 out:93 type:P dur:2 cpbdur:2 q:30.03 aq:23.82 tex:23194 mv:9486 misc:1104 imb:817 pmb:479 smb:324 d:s ref:0 ;
in:93 out:94 type:B dur:2 cpbdur:2 q:30.03 aq:24.12 tex:3684 mv:3199 misc:1229 imb:68 pmb:293 smb:1259 d:s ref:0 ;
